audit,channel,test_split,test_index,memory_pool_size,max_instruction_similarity,nearest_instruction_memory_index,min_plan_edit_distance,nearest_edit_memory_index,max_plan_trigram_jaccard,nearest_ngram_memory_index,full_signature_overlap,published_routed_skill
strict_split,episode_heldout,test,1262,304,0.9999999403953552,1093,0,144,1.0,144,True,
strict_split,episode_heldout,test,1381,304,0.9999997615814209,465,0,260,1.0,260,True,
strict_split,episode_heldout,test,1544,304,0.9999999403953552,158,0,14,1.0,14,True,
strict_split,episode_heldout,test,1558,304,1.0,180,0,14,1.0,14,True,
strict_split,episode_heldout,test,1582,304,0.9999999403953552,158,0,14,1.0,14,True,
strict_split,episode_heldout,test,1595,304,0.9999998807907104,4308,0,751,1.0,751,True,
strict_split,episode_heldout,test,1606,304,0.9999998807907104,1323,0,260,1.0,260,True,
strict_split,episode_heldout,test,20,1232,0.9999998211860657,537,0,184,1.0,184,True,
strict_split,episode_heldout,test,76,1232,0.9999999403953552,491,0,56,1.0,56,True,
strict_split,episode_heldout,test,82,1232,1.0,123,0,57,1.0,57,True,
strict_split,episode_heldout,test,88,1232,1.0,5712,0,56,1.0,56,True,
strict_split,episode_heldout,test,118,1232,0.9999998807907104,58,0,347,1.0,347,True,
strict_split,episode_heldout,test,121,1232,0.9999999403953552,184,0,145,1.0,145,True,
strict_split,episode_heldout,test,136,1232,1.0,352,0,57,1.0,57,True,
strict_split,episode_heldout,test,161,1232,0.9999999403953552,208,0,82,1.0,82,True,
strict_split,episode_heldout,test,202,1232,0.9999999403953552,2674,0,56,1.0,56,True,
strict_split,episode_heldout,test,235,1232,0.9999998807907104,646,0,184,1.0,184,True,
strict_split,episode_heldout,test,276,1232,0.9999998807907104,170,0,56,1.0,56,True,
strict_split,episode_heldout,test,294,1232,0.9999999403953552,3033,0,57,1.0,57,True,
strict_split,episode_heldout,test,427,1232,0.9999997615814209,145,0,82,1.0,82,True,
strict_split,episode_heldout,test,537,1232,1.0,15,0,15,1.0,15,True,
