index,ood_subset,baseline_success,memory_success,baseline_failure_reason,memory_failure_reason,baseline_official_error_code,memory_official_error_code,baseline_simulator_success,memory_simulator_success,baseline_length_bound_violation,memory_length_bound_violation,plan_len_baseline,plan_len_memory,plan_len_delta,reference_len,baseline_illegal_actions,baseline_ungrounded_targets,baseline_static_invalid,memory_illegal_actions,memory_ungrounded_targets,memory_static_invalid,injected_demo_ids,demo_absent_entities,demo_anchoring_fraction,baseline_static_fix
846,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
851,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,False
867,plate_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[940,1197,398,1287,352]","{""352"":[""apple""],""398"":[""pear""],""940"":[""pear""],""1197"":[""tomato""],""1287"":[""banana""]}",1.0,False
872,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
882,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
926,plate_missing,False,True,ungrounded_entity,success,NOT_FOUND_ENTITY,,False,True,False,False,5,5,0,5,[],"[""dish""]",True,[],[],False,"[1401,2069,129,316,1428]","{""129"":[""banana""],""316"":[""pear""],""1401"":[""pear""],""1428"":[""apple""],""2069"":[""tomato""]}",1.0,True
935,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
945,plate_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[38,416,548,2909,161]","{""38"":[""tomato""],""161"":[""peach""],""416"":[""pear""],""548"":[""pear""],""2909"":[""banana""]}",1.0,False
960,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
967,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
982,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,False
992,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
1002,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
1024,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
1064,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
1089,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,228,2781,1880,4735]",{},0.0,False
1099,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
1151,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
1177,plate_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2767,3266,143,2943,245]","{""143"":[""bread"",""cabinet""],""245"":[""banana"",""cabinet""],""2767"":[""banana"",""cabinet""],""2943"":[""bread"",""cabinet""],""3266"":[""bread"",""cabinet""]}",1.0,False
1208,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,False
1217,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[583,2873,766,460,5685]","{""460"":[""pear"",""tomato""],""583"":[""bread"",""meat""],""766"":[""banana"",""bread""],""2873"":[""bread"",""tomato""],""5685"":[""meat"",""pear""]}",1.0,False
