arm,samples,successes,accuracy,format_successes,format_compliance,mean_input_tokens,mean_injected_tokens,mean_generated_tokens
zero_shot,1218,10,0.008210180623973728,1218,1.0,982.1288998357963,0.0,285.58784893267654
trajectory_rag,1218,84,0.06896551724137931,1203,0.9876847290640394,4493.761083743842,3511.632183908046,321.99014778325125
tom,1218,1,0.0008210180623973727,1215,0.9975369458128078,1128.1288998357963,146.0,358.5451559934319
segment,1218,83,0.06814449917898194,1189,0.9761904761904762,4493.65763546798,3511.5287356321837,386.56814449917897
