samples,left,right,left_successes,right_successes,left_accuracy,right_accuracy,right_minus_left,paired_delta_interval,left_only,right_only,discordant_pairs,mcnemar_exact_p
300,zero_shot,trajectory_rag,54,102,0.18,0.34,0.16000000000000003,"[0.10333333333333333, 0.21666666666666667]",16,64,80,5.871330414596199e-08
300,zero_shot,tom,54,43,0.18,0.14333333333333334,-0.03666666666666665,"[-0.06666666666666667, -0.006666666666666667]",16,5,21,0.02660369873046875
300,zero_shot,segment,54,70,0.18,0.23333333333333334,0.053333333333333344,"[0.0033333333333333335, 0.10333333333333333]",23,39,62,0.05589722669971113
300,trajectory_rag,tom,102,43,0.34,0.14333333333333334,-0.19666666666666668,"[-0.25, -0.14333333333333334]",69,10,79,5.544696639021875e-12
300,trajectory_rag,segment,102,70,0.34,0.23333333333333334,-0.10666666666666669,"[-0.15333333333333332, -0.06]",43,11,54,1.4013057456185862e-05
300,tom,segment,43,70,0.14333333333333334,0.23333333333333334,0.09,"[0.03666666666666667, 0.14333333333333334]",21,48,69,0.0015503169494868645
